Seq_ID	ID_sample	ID	Transect	Point	Compartment	Spartina	Depth	Location	Year	N	W	Crab.burrows	Snails.density	sed_Eh	sed_pH	Fetot	FeII	Ammonium	Phosphate	Nitrate	Sulfide	Salinity	Sulfate	FeIII	Sed_13C	Sed_Total_N	Sed_15N	SOC	Sed_org13C	BG_rate	NAG_rate	PHOS_rate	Plant.height	Plant.density	Leaf_temp	Leaf_N	Leaf_15N	Leaf_C	Leaf_13C	Leaf_CN_ratio	plant_biomass	plant_biomass_area
Sapelo2019_Bulk_sediment_T4_P1_5-10	81	20	4	1	Bulk_sediment	Tall	5-10	Sapelo	2019	31.38904	81.27569	220	4	42	6.4	14.26426293	1.678576782	61.21528513	0.01	2.576445578	18.76334403	25.43039518	13.62501645	12.58568615	-19.7025	0.41	5.033	3.72	-20.3415	18.8298	10.1706	62.2038	82.5	80	28.275	1.42	7.695	45.695	-13.48	32.16453539	5.375219361	430.0175488
Sapelo2019_Bulk_sediment_T4_P1_0-5	82	19	4	1	Bulk_sediment	Tall	0-5	Sapelo	2019	31.38904	81.27569	220	4	86	6.9	48.53548366	6.245473846	53.04100644	0.01	1.262212899	13.55589762	29.29156467	18.84981155	42.29000981	-19.9555	0.4	5.058	3.69	-20.2825	18.8298	10.1706	62.2038	82.5	80	28.275	1.42	7.695	45.695	-13.48	32.16453539	5.375219361	430.0175488
Sapelo2019_Bulk_sediment_T4_P2_5-10	83	22	4	2	Bulk_sediment	Medium	5-10	Sapelo	2019	31.38957	81.27559	36	0	-395.5	6.5	9.141600253	9.395858769	161.8736077	72.51343314	0.01	568.5688956	25.69149088	8.498591927	0.01	-17.4285	0.39	2.94	6.11	-17.7945	4.8474	1.2989	21.9002	53.8	96	28.2	1.02	5.705	45.885	-14.105	44.87617008	2.776292111	266.5240426
Sapelo2019_Bulk_sediment_T4_P2_0-5	84	21	4	2	Bulk_sediment	Medium	0-5	Sapelo	2019	31.38957	81.27559	36	0	-297.5	6.6	25.07247374	6.330619384	65.65743212	0.01	0.29346026	46.03244512	29.01855311	16.66794341	18.74185436	-17.2675	0.41	2.729	7.01	-17.6715	4.8474	1.2989	21.9002	53.8	96	28.2	1.02	5.705	45.885	-14.105	44.87617008	2.776292111	266.5240426
Sapelo2019_Bulk_sediment_T4_P3_5-10	85	24	4	3	Bulk_sediment	Short	5-10	Sapelo	2019	31.39001	81.2758	0	180	-361	6.3	3.83670847	2.251374041	107.7303899	85.28373189	0.01	424.8321759	26.77692098	12.41836188	1.585334429	-20.2495	0.12	3.304	1.48	-21.0035	5.9198	2.2415	11.2189	31.7	136	29.05	1.36	4.635	45.285	-14.25	33.51790732	1.008474204	137.1524917
Sapelo2019_Bulk_sediment_T4_P3_0-5	86	23	4	3	Bulk_sediment	Short	0-5	Sapelo	2019	31.39001	81.2758	0	180	-334	6.9	6.740225576	0.01	144.3598971	66.52777879	0.01	480.9718078	28.94906786	14.9898791	8.978343563	-19.9705	0.09	3.134	0.7	-21.2965	5.9198	2.2415	11.2189	31.7	136	29.05	1.36	4.635	45.285	-14.25	33.51790732	1.008474204	137.1524917
Skidaway2019_Bulk_sediment_T5_P1_5-10	139	28	5	1	Bulk_sediment	Tall	5-10	Skidaway	2019	31.9754	81.03147	600	0	NA	NA	540.1774658	417.6924504	53.65999414	0.01	0.01	105.7556961	23.81289626	10.98637353	122.4850155	-18.212	0.44130955	5.546142857	4.068379723	-18.667	11.1754	4.5448	10.1029	127.7	112	28.65	1.115	7.09	44.785	-13.13	41.06710974	12.3325749	1381.248389
Skidaway2019_Bulk_sediment_T5_P1_0-5	140	27	5	1	Bulk_sediment	Tall	0-5	Skidaway	2019	31.9754	81.03147	600	0	NA	NA	294.0183385	250.9329179	61.41554585	0.01	0.674153442	118.9590925	27.03097832	14.65096849	43.08542058	-18.212	0.44130955	5.546142857	4.068379723	-18.667	11.1754	4.5448	10.1029	127.7	112	28.65	1.115	7.09	44.785	-13.13	41.06710974	12.3325749	1381.248389
Skidaway2019_Bulk_sediment_T5_P2_5-10	141	30	5	2	Bulk_sediment	Medium	5-10	Skidaway	2019	31.97528	81.03122	100	80	NA	NA	3.119940649	2.777728279	45.6131541	67.12363578	2.05920366	1383.506262	23.44177852	5.185742955	0.34221237	-19.274	0.10809525	4.916857143	1.169437729	-19.568	4.122	2.3958	10.8328	63.1	96	28.675	1.045	6.175	44.865	-13.795	44.58704935	3.998526275	383.8585224
Skidaway2019_Bulk_sediment_T5_P2_0-5	142	29	5	2	Bulk_sediment	Medium	0-5	Skidaway	2019	31.97528	81.03122	100	80	NA	NA	6.051804505	5.386277958	44.22043178	22.61582679	0.01	565.8923801	20.8123274	10.24294707	0.665526547	-19.274	0.10809525	4.916857143	1.169437729	-19.568	4.122	2.3958	10.8328	63.1	96	28.675	1.045	6.175	44.865	-13.795	44.58704935	3.998526275	383.8585224
